county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","ALIANȚA UNIUNEA SALVAȚI ROMÂNIA PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (ALIANȚA USR PLUS)-voturi","ALIANȚA UNIUNEA SALVAȚI ROMÂNIA PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (ALIANȚA USR PLUS)-mandate-faza-1","ALIANȚA UNIUNEA SALVAȚI ROMÂNIA PARTIDUL LIBERTATE UNITATE ȘI SOLIDARITATE (ALIANȚA USR PLUS)-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PÂCLEANU MARIN-voturi","PÂCLEANU MARIN-mandate-faza-1","PÂCLEANU MARIN-mandate-faza-2","PARTIDUL PRO ROMÂNIA-mandate-g9","PARTIDUL MIȘCAREA POPULARĂ-mandate-g9","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-g9","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-1","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-faza-2","PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-mandate-g9","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-1","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-2","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-g9","PARTIDUL RE:START ROMÂNIA-voturi","PARTIDUL RE:START ROMÂNIA-mandate-faza-1","PARTIDUL RE:START ROMÂNIA-mandate-faza-2","GROSU ROMEO-voturi","GROSU ROMEO-mandate-faza-1","GROSU ROMEO-mandate-faza-2","ŞERBAN STELICĂ-voturi","ŞERBAN STELICĂ-mandate-faza-1","ŞERBAN STELICĂ-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","BRĂTILĂ RĂZVAN-POMPILIU-voturi","BRĂTILĂ RĂZVAN-POMPILIU-mandate-faza-1","BRĂTILĂ RĂZVAN-POMPILIU-mandate-faza-2","ALIANȚA PSD-PRO RÂMNICU SĂRAT-voturi","ALIANȚA PSD-PRO RÂMNICU SĂRAT-mandate-faza-1","ALIANȚA PSD-PRO RÂMNICU SĂRAT-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","GRAMA MARIANA-voturi","GRAMA MARIANA-mandate-faza-1","GRAMA MARIANA-mandate-faza-2","CONSTANTINESCU FLORIN-NICOLAE-voturi","CONSTANTINESCU FLORIN-NICOLAE-mandate-faza-1","CONSTANTINESCU FLORIN-NICOLAE-mandate-faza-2","PARTIDUL INIȚIATIVA PĂTÂRLAGELE-voturi","PARTIDUL INIȚIATIVA PĂTÂRLAGELE-mandate-faza-1","PARTIDUL INIȚIATIVA PĂTÂRLAGELE-mandate-faza-2","MARIN SORIN-voturi","MARIN SORIN-mandate-faza-1","MARIN SORIN-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","BARDAŞ CORNELIU-RĂZVAN-voturi","BARDAŞ CORNELIU-RĂZVAN-mandate-faza-1","BARDAŞ CORNELIU-RĂZVAN-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-mandate-g9","MARTAC VASILE-voturi","MARTAC VASILE-mandate-faza-1","MARTAC VASILE-mandate-faza-2","ILIE IONUŢ-VASILE-voturi","ILIE IONUŢ-VASILE-mandate-faza-1","ILIE IONUŢ-VASILE-mandate-faza-2","POŞIRCĂ CONSTANTIN-voturi","POŞIRCĂ CONSTANTIN-mandate-faza-1","POŞIRCĂ CONSTANTIN-mandate-faza-2"
10,BUZĂU,AMARU,44863,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:44:19",1883,1820,1,47,15,1148,1085,1,47,15,1067,81,2019,871,53,74,85,0,105,1,0,757,8,0,8,0,0,156,1,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BĂLĂCEANU,44989,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:10:09",1328,1152,0,62,114,1019,843,0,62,114,933,61,1377,358,46,65,74,84,83,0,1,447,5,1,19,0,0,346,4,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,"BALTA ALBĂ",44934,1,FINAL,UAT,CL,CL_CE,"2020-09-28 10:30:34",2054,1758,2,218,76,1673,1378,1,218,76,1552,121,2171,498,77,108,124,137,708,5,0,680,4,1,0,0,0,43,0,0,121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BECENI,45003,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:47:33",3730,3496,1,178,55,2503,2269,1,178,55,2359,144,3925,1421,117,165,188,162,53,0,0,1081,6,1,51,0,0,1032,6,0,50,0,0,63,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BERCA,45101,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:28:36",7242,7146,1,90,5,3694,3598,1,90,5,3573,121,8000,4306,178,250,285,200,155,0,0,2600,13,0,75,0,0,402,2,0,162,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BISOCA,45245,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:54:19",1977,1958,0,19,0,863,844,0,19,0,761,102,2184,1321,38,53,60,69,0,0,0,711,10,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BLĂJANI,45334,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:05:04",858,760,1,42,55,703,605,1,42,55,621,50,898,227,31,43,49,69,0,0,0,477,6,1,0,0,0,31,0,0,113,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BOLDU,45361,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:01:19",1786,1692,0,17,77,1188,1096,0,17,75,1127,61,1955,767,56,78,90,98,283,2,1,740,7,1,0,0,0,35,0,0,6,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BOZIORU,45389,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:23:36",869,755,1,97,16,654,540,1,97,16,553,66,857,238,27,38,44,61,159,2,1,159,2,0,29,0,0,45,0,1,161,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BRĂDEANU,45496,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:34:35",1957,1916,0,39,2,1204,1163,0,39,2,1105,99,2121,917,55,77,88,93,33,0,0,500,5,0,67,0,1,465,5,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BRĂEŞTI,45539,1,FINAL,UAT,CL,CL_CE,"2020-09-28 10:00:02",1720,1666,0,8,46,1137,1087,0,8,42,1010,127,1893,756,50,70,80,85,132,1,0,607,7,0,28,0,0,54,0,1,143,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BREAZA,45619,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:33:37",2117,2095,0,21,1,1235,1213,0,21,1,1127,106,2303,1070,56,78,90,94,308,3,0,575,6,0,0,0,0,158,1,1,22,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,BUDA,45673,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:26:28",2137,2033,0,24,80,1512,1408,0,24,80,1412,100,2568,1056,70,98,112,128,336,2,1,842,6,0,0,0,0,118,0,1,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,CALVINI,45753,1,FINAL,UAT,CL,CL_CE,"2020-09-28 13:33:10",3635,3398,0,148,89,2379,2144,0,148,87,2191,188,3874,1434,109,153,175,145,64,0,0,572,3,1,44,0,0,616,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,1,0,237,1,1,49,0,0,0,92,0,0,0,306,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,CĂNEŞTI,45888,1,FINAL,UAT,CL,CL_CE,"2020-09-28 02:53:21",600,550,0,3,47,399,349,0,3,47,371,28,660,261,18,25,29,39,64,1,1,269,6,1,0,0,0,13,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,"C.A. ROSETTI",45815,1,FINAL,UAT,CL,CL_CE,"2020-09-28 10:02:12",2893,2856,0,37,0,1779,1742,0,37,0,1621,158,3140,1361,81,113,129,124,165,1,0,433,3,1,277,2,0,357,2,1,389,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,CĂTINA,45959,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:48:30",2087,1860,0,147,80,1445,1218,0,147,80,1379,66,2155,710,68,96,110,125,0,0,0,694,5,0,0,0,0,601,4,1,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,CERNĂTEŞTI,46019,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:37:59",3051,3006,2,26,17,1629,1586,0,26,17,1553,74,3359,1730,77,108,124,119,172,1,0,783,6,1,0,0,0,211,1,1,255,2,0,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,CHILIILE,46108,1,FINAL,UAT,CL,CL_CE,"2020-09-28 00:14:05",429,408,0,3,18,295,274,0,3,18,273,22,470,175,13,19,21,30,0,0,0,273,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BUZĂU,CHIOJDU,46180,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:19:25",2722,2560,2,36,124,1773,1614,0,36,123,1678,95,2904,1131,83,117,134,114,0,0,0,756,6,1,51,0,0,730,6,0,41,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
