county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-mandate-faza-1","ALIANȚA MAGHIARĂ DIN TRANSILVANIA-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","GHEORGHIU DORIN-voturi","GHEORGHIU DORIN-mandate-faza-1","GHEORGHIU DORIN-mandate-faza-2","PASTOR NICOLAE-voturi","PASTOR NICOLAE-mandate-faza-1","PASTOR NICOLAE-mandate-faza-2","DÎRSTAR IONUŢ-MONEL-voturi","DÎRSTAR IONUŢ-MONEL-mandate-faza-1","DÎRSTAR IONUŢ-MONEL-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","DREGAN ALEXE-voturi","DREGAN ALEXE-mandate-faza-1","DREGAN ALEXE-mandate-faza-2","BOÉR ROZÁLIA-voturi","BOÉR ROZÁLIA-mandate-faza-1","BOÉR ROZÁLIA-mandate-faza-2","STEKBAUER ZSOLT-voturi","STEKBAUER ZSOLT-mandate-faza-1","STEKBAUER ZSOLT-mandate-faza-2","GÁL CSABA-ISTVÁN-voturi","GÁL CSABA-ISTVÁN-mandate-faza-1","GÁL CSABA-ISTVÁN-mandate-faza-2","SÁNTA LÁSZLÓ-ERVIN-voturi","SÁNTA LÁSZLÓ-ERVIN-mandate-faza-1","SÁNTA LÁSZLÓ-ERVIN-mandate-faza-2","NECULAE MARIAN-voturi","NECULAE MARIAN-mandate-faza-1","NECULAE MARIAN-mandate-faza-2","PĂTRUNJEL MIHAIL-voturi","PĂTRUNJEL MIHAIL-mandate-faza-1","PĂTRUNJEL MIHAIL-mandate-faza-2","FRUNZĂ NECULAI-voturi","FRUNZĂ NECULAI-mandate-faza-1","FRUNZĂ NECULAI-mandate-faza-2","NEAGU MIHAI-voturi","NEAGU MIHAI-mandate-faza-1","NEAGU MIHAI-mandate-faza-2","COLŢA CRISTINA-voturi","COLŢA CRISTINA-mandate-faza-1","COLŢA CRISTINA-mandate-faza-2","BERDE ERVIN-voturi","BERDE ERVIN-mandate-faza-1","BERDE ERVIN-mandate-faza-2","PORZSOLT ERIKA-voturi","PORZSOLT ERIKA-mandate-faza-1","PORZSOLT ERIKA-mandate-faza-2","SINKA ISTVÁN-voturi","SINKA ISTVÁN-mandate-faza-1","SINKA ISTVÁN-mandate-faza-2","BAKK PÉTER-SZILAMÉR-voturi","BAKK PÉTER-SZILAMÉR-mandate-faza-1","BAKK PÉTER-SZILAMÉR-mandate-faza-2","KÁDÁR TIHAMÉR-voturi","KÁDÁR TIHAMÉR-mandate-faza-1","KÁDÁR TIHAMÉR-mandate-faza-2","LUKÁCS ISTVÁN-voturi","LUKÁCS ISTVÁN-mandate-faza-1","LUKÁCS ISTVÁN-mandate-faza-2","SZÉKELY LÁSZLÓ-voturi","SZÉKELY LÁSZLÓ-mandate-faza-1","SZÉKELY LÁSZLÓ-mandate-faza-2","ALIANȚA PENTRU DEZVOLTARE TÂRGU SECUIESC-voturi","ALIANȚA PENTRU DEZVOLTARE TÂRGU SECUIESC-mandate-faza-1","ALIANȚA PENTRU DEZVOLTARE TÂRGU SECUIESC-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-g8","BÁN ISTVÁN-voturi","BÁN ISTVÁN-mandate-faza-1","BÁN ISTVÁN-mandate-faza-2","ZSOMBORI CSABA-voturi","ZSOMBORI CSABA-mandate-faza-1","ZSOMBORI CSABA-mandate-faza-2","BERSZÁN MIKLÓS-LORÁND-voturi","BERSZÁN MIKLÓS-LORÁND-mandate-faza-1","BERSZÁN MIKLÓS-LORÁND-mandate-faza-2","SMĂNTĂNĂ ROMEO-TITI-voturi","SMĂNTĂNĂ ROMEO-TITI-mandate-faza-1","SMĂNTĂNĂ ROMEO-TITI-mandate-faza-2","SZAKÁTS ATTILA-voturi","SZAKÁTS ATTILA-mandate-faza-1","SZAKÁTS ATTILA-mandate-faza-2","NAGY ISTVÁN-voturi","NAGY ISTVÁN-mandate-faza-1","NAGY ISTVÁN-mandate-faza-2","PARTIDUL NAȚIONAL ROMÂN-voturi","PARTIDUL NAȚIONAL ROMÂN-mandate-faza-1","PARTIDUL NAȚIONAL ROMÂN-mandate-faza-2","BULARCA NICOLAE-voturi","BULARCA NICOLAE-mandate-faza-1","BULARCA NICOLAE-mandate-faza-2","STROE ALEXANDRU-IOAN-voturi","STROE ALEXANDRU-IOAN-mandate-faza-1","STROE ALEXANDRU-IOAN-mandate-faza-2","BORDÁS ZSOLT-voturi","BORDÁS ZSOLT-mandate-faza-1","BORDÁS ZSOLT-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","GRIJAN IONUŢ-ADRIAN-voturi","GRIJAN IONUŢ-ADRIAN-mandate-faza-1","GRIJAN IONUŢ-ADRIAN-mandate-faza-2","TUDOR PRUNDAR PETRU-voturi","TUDOR PRUNDAR PETRU-mandate-faza-1","TUDOR PRUNDAR PETRU-mandate-faza-2","CRISTEA DORIN-VASILE-voturi","CRISTEA DORIN-VASILE-mandate-faza-1","CRISTEA DORIN-VASILE-mandate-faza-2","SUCIU MARIAN-CĂTĂLIN-voturi","SUCIU MARIAN-CĂTĂLIN-mandate-faza-1","SUCIU MARIAN-CĂTĂLIN-mandate-faza-2","BOKOR BÉLA-voturi","BOKOR BÉLA-mandate-faza-1","BOKOR BÉLA-mandate-faza-2","AVRAM NICOLAE-voturi","AVRAM NICOLAE-mandate-faza-1","AVRAM NICOLAE-mandate-faza-2","PAPUC LEVENTE-CONSTANTIN-voturi","PAPUC LEVENTE-CONSTANTIN-mandate-faza-1","PAPUC LEVENTE-CONSTANTIN-mandate-faza-2","SÜTŐ LEVENTE-LEHEL-voturi","SÜTŐ LEVENTE-LEHEL-mandate-faza-1","SÜTŐ LEVENTE-LEHEL-mandate-faza-2","PAKÓ JÁNOS-voturi","PAKÓ JÁNOS-mandate-faza-1","PAKÓ JÁNOS-mandate-faza-2","SINKA FERENCZ-voturi","SINKA FERENCZ-mandate-faza-1","SINKA FERENCZ-mandate-faza-2","GÁSPÁR FERENC-voturi","GÁSPÁR FERENC-mandate-faza-1","GÁSPÁR FERENC-mandate-faza-2","BOCICOR DOINIŢA-voturi","BOCICOR DOINIŢA-mandate-faza-1","BOCICOR DOINIŢA-mandate-faza-2","LUPŞA NICOLAE-voturi","LUPŞA NICOLAE-mandate-faza-1","LUPŞA NICOLAE-mandate-faza-2"
15,COVASNA,"AITA MARE",63777,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:16:17",1409,1357,5,17,30,845,796,2,17,30,782,63,1490,645,39,54,62,71,437,6,0,82,1,0,145,2,0,118,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,ARCUŞ,65113,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:58:51",1361,1323,4,2,32,696,661,1,2,32,676,20,1502,806,33,47,54,61,592,9,1,0,0,0,0,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BARCANI,63633,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:11:19",3106,3082,0,21,3,1797,1773,0,21,3,1595,202,3390,1593,79,111,127,117,0,0,0,218,1,1,0,0,0,0,0,0,91,0,1,624,5,1,151,1,1,118,1,0,99,0,0,222,1,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BĂŢANI,63802,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:57:28",3577,3456,1,14,106,1671,1551,0,14,106,1483,188,3990,2319,74,103,118,112,1066,9,1,0,0,0,0,0,0,259,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BELIN,63866,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:27:51",2219,2184,3,17,15,1129,1096,1,17,15,979,150,2390,1261,48,68,78,72,333,4,1,0,0,0,91,1,0,139,1,1,64,0,1,56,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BIXAD,65121,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:55:20",1401,1376,3,2,20,420,399,0,2,19,404,16,1590,1170,20,28,32,36,241,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0,32,0,0,28,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BODOC,63893,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:19:45",2026,1985,4,14,23,1053,1016,0,14,23,1009,44,2206,1153,50,70,80,91,1009,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,"BOROŞNEU MARE",63937,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:08:11",2606,2438,2,120,46,1425,1258,1,120,46,1352,73,2790,1365,67,94,108,100,614,6,0,0,0,0,698,6,1,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BRĂDUŢ,64041,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:28:12",3838,3714,1,19,104,1442,1319,0,19,104,1332,90,4090,2668,66,93,106,88,1234,14,0,0,0,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BRATEŞ,64005,1,FINAL,UAT,CL,CL_CE,"2020-09-28 02:34:16",1183,1156,2,2,23,500,475,0,2,23,488,12,1314,814,24,34,39,54,488,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BREŢCU,64096,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:04:12",2878,2806,2,23,47,1200,1130,0,23,47,1096,104,3190,1990,54,76,87,77,680,8,2,0,0,0,0,0,0,47,0,0,41,0,0,124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,CATALINA,64130,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:44:10",2739,2722,1,14,2,1313,1297,0,14,2,1244,69,3018,1705,62,87,99,95,1015,10,1,0,0,0,0,0,0,229,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,CERNAT,64194,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:35:55",3293,3179,10,1,103,1561,1457,0,1,103,1432,129,3590,2029,71,100,114,110,895,8,0,0,0,0,0,0,0,537,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,CHICHIŞ,64238,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:04:10",1333,1293,3,9,28,650,613,0,9,28,622,28,1490,840,31,43,49,56,407,7,1,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,33,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,COMANDĂU,63553,1,FINAL,UAT,CL,CL_CE,"2020-09-28 03:31:59",806,791,1,1,13,397,383,0,1,13,365,32,890,493,18,25,29,40,274,6,1,0,0,0,0,0,0,47,1,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,DALNIC,65147,1,FINAL,UAT,CL,CL_CE,"2020-09-28 02:12:07",746,742,0,1,3,448,444,0,1,3,413,35,890,442,20,28,33,45,239,5,0,0,0,0,0,0,0,174,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
