county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-1","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-faza-2","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-1","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-voturi","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-faza-2","ALIANȚA USR PLUS-voturi","ALIANȚA USR PLUS-mandate-faza-1","ALIANȚA USR PLUS-mandate-faza-2","ALIANȚA PENTRU UNITATEA RROMILOR-voturi","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-1","ALIANȚA PENTRU UNITATEA RROMILOR-mandate-faza-2","TABĂRĂ GHIORGHE-voturi","TABĂRĂ GHIORGHE-mandate-faza-1","TABĂRĂ GHIORGHE-mandate-faza-2","DUMBRAVĂ MĂDĂLIN-voturi","DUMBRAVĂ MĂDĂLIN-mandate-faza-1","DUMBRAVĂ MĂDĂLIN-mandate-faza-2","PREDA ŞTEFĂNACHE-voturi","PREDA ŞTEFĂNACHE-mandate-faza-1","PREDA ŞTEFĂNACHE-mandate-faza-2","VREME ŞERBAN-voturi","VREME ŞERBAN-mandate-faza-1","VREME ŞERBAN-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-voturi","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-1","PARTIDUL LIBERTATE, UNITATE ȘI SOLIDARITATE-mandate-faza-2","PARTIDUL RE:START ROMÂNIA-voturi","PARTIDUL RE:START ROMÂNIA-mandate-faza-1","PARTIDUL RE:START ROMÂNIA-mandate-faza-2","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","MARCU GHEORGHE-voturi","MARCU GHEORGHE-mandate-faza-1","MARCU GHEORGHE-mandate-faza-2","PÂRVU ŞTEFAN-voturi","PÂRVU ŞTEFAN-mandate-faza-1","PÂRVU ŞTEFAN-mandate-faza-2","TĂNASĂ CORNEL-voturi","TĂNASĂ CORNEL-mandate-faza-1","TĂNASĂ CORNEL-mandate-faza-2","ŢUCHEL CĂTĂLIN-voturi","ŢUCHEL CĂTĂLIN-mandate-faza-1","ŢUCHEL CĂTĂLIN-mandate-faza-2","IACOB NELU-voturi","IACOB NELU-mandate-faza-1","IACOB NELU-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”-mandate-g8","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","PARTIDUL SOCIALIST ROMÂN-voturi","PARTIDUL SOCIALIST ROMÂN-mandate-faza-1","PARTIDUL SOCIALIST ROMÂN-mandate-faza-2","PACT PENTRU GALAȚI-voturi","PACT PENTRU GALAȚI-mandate-faza-1","PACT PENTRU GALAȚI-mandate-faza-2","VLASE MIRCEA-GEORGE-voturi","VLASE MIRCEA-GEORGE-mandate-faza-1","VLASE MIRCEA-GEORGE-mandate-faza-2","VREME DANIELA-SIMONA-voturi","VREME DANIELA-SIMONA-mandate-faza-1","VREME DANIELA-SIMONA-mandate-faza-2","PARTIDUL UNIUNEA INDEPENDENTA PENTRU TECUCI-voturi","PARTIDUL UNIUNEA INDEPENDENTA PENTRU TECUCI-mandate-faza-1","PARTIDUL UNIUNEA INDEPENDENTA PENTRU TECUCI-mandate-faza-2","COSTACHE CLAUDIU-MARIUS-voturi","COSTACHE CLAUDIU-MARIUS-mandate-faza-1","COSTACHE CLAUDIU-MARIUS-mandate-faza-2","ISARII CEZAR-ANDREI-voturi","ISARII CEZAR-ANDREI-mandate-faza-1","ISARII CEZAR-ANDREI-mandate-faza-2","LUPU MARCEL-voturi","LUPU MARCEL-mandate-faza-1","LUPU MARCEL-mandate-faza-2","PROCOP IONUŢ-voturi","PROCOP IONUŢ-mandate-faza-1","PROCOP IONUŢ-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-mandate-g8","PARTIDUL MIȘCAREA POPULARĂ-mandate-g9","PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-mandate-g9","PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-mandate-g9","ALIANȚA USR PLUS-mandate-g9","PARTIDUL ECOLOGIST ROMÂN-mandate-g9","AZZOLA GIULIANO-voturi","AZZOLA GIULIANO-mandate-faza-1","AZZOLA GIULIANO-mandate-faza-2","COMAN CONSTANTIN-voturi","COMAN CONSTANTIN-mandate-faza-1","COMAN CONSTANTIN-mandate-faza-2","ŢUCHEL MARIAN-voturi","ŢUCHEL MARIAN-mandate-faza-1","ŢUCHEL MARIAN-mandate-faza-2"
18,GALAŢI,BĂLĂBĂNEŞTI,75542,3,FINAL,UAT,CL,CL_CE,"2020-10-01 22:17:25",1572,1545,1,26,0,893,867,0,26,0,837,56,1701,808,41,58,66,71,42,0,0,255,3,1,0,0,0,484,6,1,24,0,0,20,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,BĂLĂŞEŞTI,75613,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:14:20",1744,1684,0,28,32,978,918,0,28,32,933,45,1904,926,46,65,74,81,65,0,1,147,1,1,8,0,0,686,8,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,BĂLENI,75668,3,FINAL,UAT,CL,CL_CE,"2020-10-01 22:26:12",1901,1792,2,1,106,1069,962,0,1,106,1009,59,2078,1010,50,70,80,87,17,0,0,276,3,0,25,0,0,592,6,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,BĂNEASA,75686,3,FINAL,UAT,CL,CL_CE,"2020-10-01 22:31:41",1728,1633,1,23,71,1033,946,0,23,64,982,51,1849,816,49,68,78,86,49,0,1,118,1,0,101,1,0,593,6,1,95,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,BARCEA,75515,1,FINAL,UAT,CL,CL_CE,"2020-09-28 13:21:10",5076,5033,3,34,6,2337,2297,1,33,6,2110,227,5584,3247,105,147,168,114,81,0,0,908,7,1,98,0,0,522,4,1,156,1,0,0,0,0,0,0,0,127,1,0,119,0,0,80,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,BEREŞTI-MERIA,75356,3,FINAL,UAT,CL,CL_CE,"2020-10-01 22:39:59",2806,2737,1,36,32,1436,1368,0,36,32,1336,100,3058,1622,66,93,106,92,103,1,0,372,4,0,28,0,0,664,7,0,67,0,1,0,0,0,38,0,0,0,0,0,38,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,BRĂHĂŞEŞTI,75766,3,FINAL,UAT,CL,CL_CE,"2020-10-01 22:36:14",6563,6524,0,30,9,2510,2471,0,30,9,2248,262,7190,4680,112,157,179,144,19,0,0,272,1,1,62,0,0,1421,9,1,0,0,0,0,0,0,0,0,0,474,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,BRANIŞTEA,75711,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:53:46",3639,3551,4,14,70,1928,1844,0,14,70,1862,66,4000,2072,93,130,148,127,564,4,0,869,6,1,50,0,0,218,1,1,35,0,0,67,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,BUCIUMENI,75819,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:39:06",2001,1959,1,37,4,1105,1066,0,37,2,990,114,2159,1055,49,69,79,77,50,0,1,342,4,0,66,0,1,394,5,0,39,0,0,0,0,0,14,0,0,29,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,CAVADINEŞTI,75864,1,FINAL,UAT,CL,CL_CE,"2020-09-28 11:40:30",2382,2248,1,65,68,1455,1322,0,65,68,1362,93,2518,1063,68,95,108,112,29,0,0,611,5,0,19,0,0,624,5,1,50,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,CERŢEŞTI,75917,1,FINAL,UAT,CL,CL_CE,"2020-09-28 06:10:24",1888,1827,1,24,36,1283,1223,0,24,36,1182,101,2054,771,59,82,94,103,0,0,0,583,5,1,39,0,0,360,3,0,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,CORNI,76004,3,FINAL,UAT,CL,CL_CE,"2020-10-01 22:39:12",1735,1676,0,29,30,1170,1111,0,29,30,1079,91,1839,669,53,75,86,92,29,0,0,594,6,0,31,0,0,425,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,COROD,75953,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:45:20",6068,5995,0,60,13,2894,2821,0,60,13,2711,183,6641,3747,135,189,216,172,1041,6,0,923,5,1,50,0,0,480,2,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,COSMEŞTI,76040,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:24:53",5511,5407,4,48,52,2376,2274,2,48,52,2217,159,6043,3667,110,155,177,132,176,1,0,793,6,0,78,0,0,1021,7,1,78,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,"COSTACHE NEGRI",76111,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:13:42",2300,2172,0,90,38,1294,1166,0,90,38,1235,59,2420,1126,61,86,98,112,183,1,1,429,3,1,71,0,1,490,4,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,CUCA,76139,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:46:20",1836,1708,0,65,63,1152,1024,0,65,63,1079,73,1950,798,53,75,86,88,34,0,0,393,4,1,102,1,0,480,5,0,24,0,0,21,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,CUDALBI,76157,1,FINAL,UAT,CL,CL_CE,"2020-09-28 08:34:14",6228,6119,1,86,22,3166,3058,0,86,22,2902,264,6754,3588,145,203,232,0,44,0,0,590,3,0,1083,6,0,938,5,1,93,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,"CUZA VODĂ",77595,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:31:36",2302,2282,0,8,12,1134,1114,0,8,12,1064,70,2512,1378,53,74,85,93,238,2,0,481,5,0,69,0,1,241,2,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,DRĂGĂNEŞTI,75221,1,FINAL,UAT,CL,CL_CE,"2020-09-28 10:51:24",5476,5436,0,23,17,2440,2400,0,23,17,2256,184,6014,3574,112,157,180,147,124,0,1,918,6,0,246,1,1,529,3,0,130,0,1,0,0,0,40,0,0,0,0,0,269,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,DRĂGUŞENI,76175,3,FINAL,UAT,CL,CL_CE,"2020-10-01 22:42:29",4248,4184,0,36,28,2031,1967,0,36,28,1808,223,4678,2647,90,126,144,111,102,0,1,229,2,0,16,0,0,1226,11,0,122,1,0,0,0,0,22,0,0,28,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,FÂRŢĂNEŞTI,76255,1,FINAL,UAT,CL,CL_CE,"2020-09-28 04:05:15",4117,4098,1,18,0,1689,1671,0,18,0,1601,85,4515,2829,80,112,128,98,41,0,0,153,1,0,27,0,0,1330,13,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,FOLTEŞTI,76282,1,FINAL,UAT,CL,CL_CE,"2020-09-28 05:54:33",2645,2600,0,23,22,1428,1383,0,23,22,1331,97,2884,1456,66,93,106,91,74,0,1,336,3,1,32,0,0,689,7,0,88,0,1,0,0,0,18,0,0,22,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,FRUMUŞIŢA,76317,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:05:21",4373,4274,4,30,65,2240,2145,0,30,65,2124,116,4807,2567,106,148,169,117,83,0,0,369,3,0,51,0,0,1120,9,1,91,0,0,28,0,0,7,0,0,275,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,21,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,FUNDENI,76353,1,FINAL,UAT,CL,CL_CE,"2020-09-28 07:20:25",3179,3159,1,17,2,1633,1614,0,17,2,1520,113,3481,1848,76,106,121,107,233,2,0,534,4,1,37,0,0,517,4,1,110,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,GHIDIGENI,76406,1,FINAL,UAT,CL,CL_CE,"2020-09-28 09:06:18",4395,4347,0,45,3,2916,2868,0,45,3,2733,183,5555,2639,136,191,218,177,28,0,0,1316,7,1,570,3,0,769,4,0,18,0,0,0,0,0,0,0,0,26,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GALAŢI,GOHOR,76497,1,FINAL,UAT,CL,CL_CE,"2020-09-28 11:09:41",3019,2818,2,107,92,1896,1701,1,107,87,1780,116,3183,1287,89,124,142,132,27,0,0,666,5,0,23,0,0,1057,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
